Frame,Plate,Distance(m),Time(s)
15,???,7.0,0.5
15,???,6.7,0.5
15,???,18.9,0.5
15,???,5.3,0.5
30,???,6.8,1.0
30,???,5.9,1.0
30,???,17.2,1.0
30,???,4.7,1.0
45,???,16.5,1.6
45,???,7.0,1.6
45,???,4.8,1.6
45,???,4.9,1.6
60,???,15.4,2.1
60,???,7.1,2.1
60,???,4.9,2.1
60,???,3.8,2.1
60,???,39.0,2.1
75,???,13.9,2.6
75,???,6.8,2.6
75,???,5.1,2.6
75,???,5.4,2.6
75,???,39.0,2.6
90,???,12.7,3.1
90,???,7.0,3.1
90,???,5.7,3.1
105,???,11.2,3.6
105,???,7.3,3.6
105,???,5.6,3.6
105,Rex,22.1,3.6
120,???,10.1,4.1
120,???,5.6,4.1
120,Zalc,7.3,4.1
135,???,8.9,4.7
135,???,5.7,4.7
135,???,7.6,4.7
150,5YIErt,7.8,5.2
150,???,7.6,5.2
150,???,5.7,5.2
165,JnooHn,6.4,5.7
165,???,7.6,5.7
165,???,5.7,5.7
165,???,35.5,5.7
180,???,5.8,6.2
180,???,7.8,6.2
180,???,5.2,6.2
180,???,35.5,6.2
195,???,5.7,6.7
195,???,7.8,6.7
195,???,4.3,6.7
210,???,8.1,7.2
210,???,5.4,7.2
225,???,5.3,7.8
225,???,8.1,7.8
240,???,8.3,8.3
240,???,5.3,8.3
255,???,8.4,8.8
255,???,5.3,8.8
270,???,8.7,9.3
270,???,5.3,9.3
270,???,40.3,9.3
285,???,9.0,9.8
285,???,5.4,9.8
285,???,37.7,9.8
300,???,9.2,10.3
300,???,5.4,10.3
315,???,9.4,10.9
315,???,5.5,10.9
330,???,9.5,11.4
330,???,5.4,11.4
330,???,41.8,11.4
345,???,9.6,11.9
345,???,5.7,11.9
360,???,9.8,12.4
360,???,5.6,12.4
375,???,10.0,12.9
375,???,5.8,12.9
375,???,40.3,12.9
390,???,10.1,13.4
390,???,5.7,13.4
390,???,40.3,13.4
405,???,10.2,14.0
405,???,5.6,14.0
420,???,10.3,14.5
420,???,5.9,14.5
420,???,39.0,14.5
435,???,10.4,15.0
435,???,5.2,15.0
435,???,39.0,15.0
450,???,10.4,15.5
450,???,4.4,15.5
450,???,39.0,15.5
465,???,10.4,16.0
465,???,4.6,16.0
480,???,10.5,16.6
480,???,4.7,16.6
480,???,41.8,16.6
495,???,10.3,17.1
495,???,4.9,17.1
495,???,7.4,17.1
495,???,39.0,17.1
510,???,10.9,17.6
510,???,5.2,17.6
525,???,10.5,18.1
525,???,5.2,18.1
525,???,5.2,18.1
540,???,10.8,18.6
540,???,5.4,18.6
555,Etiivvg,5.5,19.1
555,???,10.5,19.1
570,???,10.5,19.7
570,???,5.3,19.7
585,???,10.2,20.2
585,???,5.2,20.2
600,???,5.0,20.7
600,???,10.1,20.7
600,???,45.0,20.7
600,???,61.6,20.7
615,???,4.8,21.2
615,???,9.5,21.2
615,ZrV,27.2,21.2
630,???,4.6,21.7
630,???,9.4,21.7
630,???,22.5,21.7
645,???,9.0,22.2
645,???,20.9,22.2
645,???,4.9,22.2
645,???,5.1,22.2
660,???,9.1,22.8
660,???,21.7,22.8
660,???,4.3,22.8
660,???,6.0,22.8
675,???,8.7,23.3
675,???,22.5,23.3
675,???,4.3,23.3
690,???,8.7,23.8
690,???,5.2,23.8
690,???,22.5,23.8
690,???,37.7,23.8
705,???,5.4,24.3
705,???,8.3,24.3
705,???,22.5,24.3
705,???,34.4,24.3
